project_id,year,resource,role_description,bill_rate,cost_rate,total_hours,labor_revenue,labor_cost,labor_margin
PROJ-0001,2023,Sr. Project Manager,,227.89,113.94,237.5,54123.88,27060.75,27063.13
PROJ-0001,2024,Sr. Project Manager,,227.89,113.94,217.3,49520.5,24759.16,24761.34
PROJ-0001,2023,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",359.69,161.86,374.4,134667.94,60600.38,74067.56
PROJ-0001,2024,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",359.69,161.86,545.1,196067.02,88229.89,107837.13
PROJ-0001,2023,Sr. Data Scientist,,333.99,156.98,489.8,163588.3,76888.8,86699.5
PROJ-0001,2024,Sr. Data Scientist,,333.99,156.98,573.6,191576.66,90043.73,101532.93
PROJ-0001,2023,Data Scientist,,282.43,141.22,472.1,133335.2,66669.96,66665.24
PROJ-0001,2024,Data Scientist,,282.43,141.22,731.9,206710.52,103358.92,103351.6
PROJ-0001,2023,Data Scientist,,291.02,145.51,525.7,152989.21,76494.61,76494.6
PROJ-0001,2024,Data Scientist,,291.02,145.51,652.5,189890.55,94945.27,94945.28
PROJ-0001,2023,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",263.21,131.6,539.1,141896.51,70945.56,70950.95
PROJ-0001,2024,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",263.21,131.6,725.8,191037.82,95515.28,95522.54
PROJ-0001,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",228.19,118.66,433.4,98897.55,51427.24,47470.31
PROJ-0001,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",228.19,118.66,667.4,152294.01,79193.68,73100.33
PROJ-0001,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",237.2,123.34,528.1,125265.32,65135.85,60129.47
PROJ-0001,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",237.2,123.34,683.5,162126.2,84302.89,77823.31
PROJ-0002,2023,Sr. Project Manager,,263.0,131.5,267.8,70431.4,35215.7,35215.7
PROJ-0002,2023,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",353.27,158.97,285.3,100787.93,45354.14,55433.79
PROJ-0002,2023,Sr. Data Scientist,,304.59,143.16,670.1,204105.76,95931.52,108174.24
PROJ-0002,2023,Data Scientist,,312.93,156.47,560.3,175334.68,87670.14,87664.54
PROJ-0002,2023,Data Scientist,,316.66,158.33,598.8,189616.01,94808.0,94808.01
PROJ-0002,2023,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",257.73,128.87,655.5,168942.02,84474.29,84467.73
PROJ-0002,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",243.83,126.79,668.6,163024.74,84771.79,78252.95
PROJ-0002,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",250.94,130.49,526.0,131994.44,68637.74,63356.7
PROJ-0003,2023,Program Director,,412.27,185.52,7.1,2927.12,1317.19,1609.93
PROJ-0003,2024,Program Director,,412.27,185.52,395.0,162846.65,73280.4,89566.25
PROJ-0003,2025,Program Director,,412.27,185.52,106.5,43906.75,19757.88,24148.87
PROJ-0003,2023,Program Manager,,289.67,144.84,27.2,7879.02,3939.65,3939.37
PROJ-0003,2024,Program Manager,,289.67,144.84,970.8,281211.64,140610.67,140600.97
PROJ-0003,2025,Program Manager,,289.67,144.84,591.5,171339.81,85672.86,85666.95
PROJ-0003,2023,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",383.56,172.6,21.0,8054.76,3624.6,4430.16
PROJ-0003,2024,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",383.56,172.6,1655.1,634830.16,285670.26,349159.9
PROJ-0003,2025,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",383.56,172.6,547.2,209884.03,94446.72,115437.31
PROJ-0003,2023,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",338.95,152.53,32.1,10880.3,4896.21,5984.09
PROJ-0003,2024,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",338.95,152.53,2047.9,694135.7,312366.19,381769.51
PROJ-0003,2025,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",338.95,152.53,620.8,210420.16,94690.62,115729.54
PROJ-0003,2023,Solution Architect,"Infrastructure Architect, App Architect, Data Architect, AI Architect",283.5,136.08,29.9,8476.65,4068.79,4407.86
PROJ-0003,2024,Solution Architect,"Infrastructure Architect, App Architect, Data Architect, AI Architect",283.5,136.08,1850.3,524560.05,251788.82,272771.23
PROJ-0003,2025,Solution Architect,"Infrastructure Architect, App Architect, Data Architect, AI Architect",283.5,136.08,782.1,221725.35,106428.17,115297.18
PROJ-0003,2023,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",303.64,151.82,30.4,9230.66,4615.33,4615.33
PROJ-0003,2024,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",303.64,151.82,2062.6,626287.86,313143.93,313143.93
PROJ-0003,2025,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",303.64,151.82,720.4,218742.26,109371.13,109371.13
PROJ-0003,2023,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",256.27,128.13,31.3,8021.25,4010.47,4010.78
PROJ-0003,2024,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",256.27,128.13,1604.8,411262.1,205623.02,205639.08
PROJ-0003,2025,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",256.27,128.13,733.0,187845.91,93919.29,93926.62
PROJ-0003,2023,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",261.56,130.78,38.1,9965.44,4982.72,4982.72
PROJ-0003,2024,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",261.56,130.78,1616.6,422837.9,211418.95,211418.95
PROJ-0003,2025,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",261.56,130.78,707.0,184922.92,92461.46,92461.46
PROJ-0003,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",233.23,121.28,30.4,7090.19,3686.91,3403.28
PROJ-0003,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",233.23,121.28,1561.3,364142.0,189354.46,174787.54
PROJ-0003,2025,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",233.23,121.28,780.7,182082.66,94683.3,87399.36
PROJ-0003,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",273.25,142.09,31.2,8525.4,4433.21,4092.19
PROJ-0003,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",273.25,142.09,1942.0,530651.5,275938.78,254712.72
PROJ-0003,2025,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",273.25,142.09,797.8,217998.85,113359.4,104639.45
PROJ-0003,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",267.79,139.25,38.9,10417.03,5416.82,5000.21
PROJ-0003,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",267.79,139.25,1735.6,464776.32,241682.3,223094.02
PROJ-0003,2025,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",267.79,139.25,743.5,199101.87,103532.38,95569.49
PROJ-0003,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",237.36,123.43,39.4,9351.98,4863.14,4488.84
PROJ-0003,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",237.36,123.43,1925.6,457060.42,237676.81,219383.61
PROJ-0003,2025,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",237.36,123.43,768.7,182458.63,94880.64,87577.99
PROJ-0003,2023,Offshore Solution Architect,"Infrastructure Architect, App Architect, Data Architect, AI Architect",192.86,96.43,33.9,6537.95,3268.98,3268.97
PROJ-0003,2024,Offshore Solution Architect,"Infrastructure Architect, App Architect, Data Architect, AI Architect",192.86,96.43,1930.4,372296.94,186148.47,186148.47
PROJ-0003,2025,Offshore Solution Architect,"Infrastructure Architect, App Architect, Data Architect, AI Architect",192.86,96.43,618.6,119303.2,59651.6,59651.6
PROJ-0003,2023,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",135.3,74.42,39.4,5330.82,2932.15,2398.67
PROJ-0003,2024,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",135.3,74.42,1770.4,239535.12,131753.17,107781.95
PROJ-0003,2025,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",135.3,74.42,737.0,99716.1,54847.54,44868.56
PROJ-0003,2023,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",153.78,84.58,32.6,5013.23,2757.31,2255.92
PROJ-0003,2024,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",153.78,84.58,1864.9,286784.32,157733.24,129051.08
PROJ-0003,2025,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",153.78,84.58,782.5,120332.85,66183.85,54149.0
PROJ-0003,2023,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",99.55,57.74,33.5,3334.92,1934.29,1400.63
PROJ-0003,2024,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",99.55,57.74,1656.6,164914.53,95652.08,69262.45
PROJ-0003,2025,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",99.55,57.74,635.6,63273.98,36699.54,26574.44
PROJ-0003,2023,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",137.05,79.49,37.1,5084.56,2949.08,2135.48
PROJ-0003,2024,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",137.05,79.49,2061.8,282569.69,163892.48,118677.21
PROJ-0003,2025,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",137.05,79.49,733.9,100581.0,58337.71,42243.29
PROJ-0003,2023,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",146.91,85.21,32.2,4730.5,2743.76,1986.74
PROJ-0003,2024,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",146.91,85.21,1657.6,243518.02,141244.1,102273.92
PROJ-0003,2025,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",146.91,85.21,643.3,94507.2,54815.59,39691.61
PROJ-0003,2023,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",103.78,60.19,39.9,4140.82,2401.58,1739.24
PROJ-0003,2024,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",103.78,60.19,1676.9,174028.68,100932.61,73096.07
PROJ-0003,2025,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",103.78,60.19,691.7,71784.63,41633.42,30151.21
PROJ-0004,2023,Sr. Project Manager,,229.59,114.8,174.6,40086.41,20044.08,20042.33
PROJ-0004,2023,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",365.94,164.67,548.5,200718.09,90321.49,110396.6
PROJ-0004,2023,Sr. Product Manager,,313.31,150.39,520.8,163171.85,78323.11,84848.74
PROJ-0004,2023,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",314.57,157.28,671.7,211296.67,105644.98,105651.69
PROJ-0004,2023,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",293.42,146.71,554.8,162789.42,81394.71,81394.71
PROJ-0004,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",209.75,109.07,639.9,134219.02,69793.89,64425.13
PROJ-0004,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",211.6,110.03,511.0,108127.6,56225.33,51902.27
PROJ-0004,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",252.44,131.27,531.2,134096.13,69730.62,64365.51
PROJ-0004,2023,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",121.68,70.57,544.2,66218.26,38404.19,27814.07
PROJ-0004,2023,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",106.88,61.99,512.5,54776.0,31769.88,23006.12
PROJ-0005,2023,Program Director,,387.61,174.42,228.5,88568.89,39854.97,48713.92
PROJ-0005,2024,Program Director,,387.61,174.42,191.7,74304.84,33436.31,40868.53
PROJ-0005,2023,Sr. Program Manager,,310.04,148.82,813.0,252062.52,120990.66,131071.86
PROJ-0005,2024,Sr. Program Manager,,310.04,148.82,771.8,239288.87,114859.28,124429.59
PROJ-0005,2023,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",339.98,152.99,897.7,305200.05,137339.12,167860.93
PROJ-0005,2024,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",339.98,152.99,963.9,327706.72,147467.06,180239.66
PROJ-0005,2023,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",377.45,169.85,1095.0,413307.75,185985.75,227322.0
PROJ-0005,2024,Sr. Solution Architect,"Program Architect, Infrastructure Architect, Security Architect, Application Architect, Data Architect, AI Architect, QA Architect",377.45,169.85,1252.1,472605.14,212669.18,259935.96
PROJ-0005,2023,Sr. Product Manager,,280.52,134.65,1171.9,328741.39,157796.34,170945.05
PROJ-0005,2024,Sr. Product Manager,,280.52,134.65,694.5,194821.14,93514.43,101306.71
PROJ-0005,2023,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",266.75,133.38,1603.7,427786.98,213901.51,213885.47
PROJ-0005,2024,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",266.75,133.38,1320.5,352243.38,176128.29,176115.09
PROJ-0005,2023,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",298.03,149.01,1413.0,421116.39,210551.13,210565.26
PROJ-0005,2024,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",298.03,149.01,1394.0,415453.82,207719.94,207733.88
PROJ-0005,2023,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",272.43,136.22,1496.8,407773.22,203894.1,203879.12
PROJ-0005,2024,Sr. Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",272.43,136.22,1308.7,356529.14,178271.11,178258.03
PROJ-0005,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",268.42,139.58,1613.5,433095.67,225212.33,207883.34
PROJ-0005,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",268.42,139.58,1348.4,361937.53,188209.67,173727.86
PROJ-0005,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",263.4,136.97,1552.3,408875.82,212618.53,196257.29
PROJ-0005,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",263.4,136.97,1415.0,372711.0,193812.55,178898.45
PROJ-0005,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",238.85,124.2,1537.3,367184.1,190932.66,176251.44
PROJ-0005,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",238.85,124.2,1221.2,291683.62,151673.04,140010.58
PROJ-0005,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",269.8,140.3,1564.9,422210.02,219555.47,202654.55
PROJ-0005,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",269.8,140.3,1451.4,391587.72,203631.42,187956.3
PROJ-0005,2023,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",245.48,127.65,1300.7,319295.84,166034.36,153261.48
PROJ-0005,2024,Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",245.48,127.65,1181.1,289936.43,150767.42,139169.01
PROJ-0005,2023,Offshore Solution Architect,"Infrastructure Architect, App Architect, Data Architect, AI Architect",194.09,97.05,1590.8,308758.37,154387.14,154371.23
PROJ-0005,2024,Offshore Solution Architect,"Infrastructure Architect, App Architect, Data Architect, AI Architect",194.09,97.05,1483.7,287971.33,143993.08,143978.25
PROJ-0005,2023,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",169.68,93.32,1389.5,235770.36,129668.14,106102.22
PROJ-0005,2024,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",169.68,93.32,1514.4,256963.39,141323.81,115639.58
PROJ-0005,2023,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",155.53,85.54,1603.9,249454.57,137197.61,112256.96
PROJ-0005,2024,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",155.53,85.54,1336.3,207834.74,114307.1,93527.64
PROJ-0005,2023,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",137.81,75.8,1499.0,206577.19,113624.2,92952.99
PROJ-0005,2024,Offshore Senior Consultant,"Technical Lead, Functional Lead, AI Lead, Data Lead, QA Lead, UX Designer, Security Lead",137.81,75.8,1315.6,181302.84,99722.48,81580.36
PROJ-0005,2023,Offshore Consultant,"Infrastructure Engineer, Security Engineer, Application Engineer, Data Engineer, AI Engineer, QA Engineer, UX Engineer, DevOps Engineer",97.29,56.43,1437.0,139805.73,81089.91,58715.82
